period,org_code,parent_org,org_name,att_type1,att_type2,att_other,att_booked_type1,att_booked_type2,att_booked_other,over4hr_type1,over4hr_type2,over4hr_other,over4hr_booked_type1,over4hr_booked_type2,over4hr_booked_other,wait_4_12hr_dta,wait_12hr_plus_dta,emerg_adm_type1,emerg_adm_type2,emerg_adm_other,emerg_adm_other2,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,a,date,total_attendances,total_over4hr,type1_4hr_pct,total_emerg_adm
MSitAE-DECEMBER-2023,RXW,NHS ENGLAND MIDLANDS,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,10137,0,2083,95,0,513,5904,0,283,33,0,12,544,1068,2916,0,54,2149,,,,,,,2023-12-01,12220,6187,41.8,5119
MSitAE-DECEMBER-2023,RYG,NHS ENGLAND MIDLANDS,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,49,,,,,,,2023-12-01,0,0,,55
MSitAE-DECEMBER-2023,Y00751,NHS ENGLAND SOUTH EAST,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2023-12-01,0,0,,0
MSitAE-DECEMBER-2023,ARN03,NHS ENGLAND NORTH EAST AND YORKSHIRE,LOCAL CARE DIRECT,0,0,2421,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2023-12-01,2421,0,,0
MSitAE-DECEMBER-2023,AXG,NHS ENGLAND SOUTH WEST,WILTSHIRE HEALTH & CARE,0,0,1962,0,0,52,0,0,12,0,0,0,0,0,0,0,0,0,,,,,,,2023-12-01,1962,12,,0
MSitAE-DECEMBER-2023,C82009,NHS ENGLAND MIDLANDS,MARKET HARBOROUGH MED.CTR,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2023-12-01,184,0,,0
MSitAE-DECEMBER-2023,NTPAD,NHS ENGLAND SOUTH EAST,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,0,0,4979,0,0,249,0,0,138,0,0,3,0,0,0,0,0,0,,,,,,,2023-12-01,4979,138,,0
MSitAE-DECEMBER-2023,R1D,NHS ENGLAND MIDLANDS,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,0,0,2571,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,2023-12-01,2571,1,,0
MSitAE-DECEMBER-2023,R1F,NHS ENGLAND SOUTH EAST,ISLE OF WIGHT NHS TRUST,3444,0,1968,21,0,25,1746,0,0,10,0,0,260,179,1083,0,0,325,,,,,,,2023-12-01,5412,1746,49.3,1408
MSitAE-DECEMBER-2023,RAN,NHS ENGLAND LONDON,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,,,,,,,2023-12-01,0,0,,36
MSitAE-DECEMBER-2023,RBS,NHS ENGLAND NORTH WEST,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6323,0,0,0,0,0,980,0,0,0,0,0,0,0,899,0,0,356,,,,,,,2023-12-01,6323,980,84.5,1255
MSitAE-DECEMBER-2023,RDE,NHS ENGLAND EAST OF ENGLAND,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,14539,0,11405,310,0,239,6811,0,268,0,0,0,1176,345,6058,0,290,1009,,,,,,,2023-12-01,25944,7079,53.2,7357
MSitAE-DECEMBER-2023,REP,NHS ENGLAND NORTH WEST,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,0,1196,0,0,117,0,0,114,0,0,0,0,0,0,0,91,0,12,,,,,,,2023-12-01,1196,114,,103
MSitAE-DECEMBER-2023,RGP,NHS ENGLAND EAST OF ENGLAND,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6402,0,1335,106,0,0,2598,0,0,31,0,0,512,265,1691,0,0,512,,,,,,,2023-12-01,7737,2598,59.4,2203
MSitAE-DECEMBER-2023,RJ1,NHS ENGLAND LONDON,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,10394,646,5814,0,0,0,4616,0,288,0,0,0,260,5,1863,0,0,263,,,,,,,2023-12-01,16854,4904,55.6,2126
MSitAE-DECEMBER-2023,RJC,NHS ENGLAND MIDLANDS,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,7619,0,282,21,0,0,2564,0,0,0,0,0,449,8,2167,0,0,667,,,,,,,2023-12-01,7901,2564,66.3,2834
MSitAE-DECEMBER-2023,RJL,NHS ENGLAND NORTH EAST AND YORKSHIRE,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,14635,0,0,0,0,0,5640,0,0,0,0,0,860,705,4623,0,0,557,,,,,,,2023-12-01,14635,5640,61.5,5180
MSitAE-DECEMBER-2023,RKB,NHS ENGLAND MIDLANDS,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,11219,1661,7435,41,0,138,5725,127,190,19,0,1,269,26,3143,70,90,1417,,,,,,,2023-12-01,20315,6042,49.0,4720
MSitAE-DECEMBER-2023,RL1,NHS ENGLAND MIDLANDS,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,,,,,,,2023-12-01,0,0,,18
MSitAE-DECEMBER-2023,RLT,NHS ENGLAND MIDLANDS,GEORGE ELIOT HOSPITAL NHS TRUST,6731,0,1583,0,0,0,2182,0,56,0,0,0,634,98,1074,0,0,44,,,,,,,2023-12-01,8314,2238,67.6,1118
MSitAE-DECEMBER-2023,RN7,NHS ENGLAND SOUTH EAST,DARTFORD AND GRAVESHAM NHS TRUST,11816,0,3576,0,0,0,4334,0,39,0,0,0,1014,2,3174,0,0,323,,,,,,,2023-12-01,15392,4373,63.3,3497
MSitAE-DECEMBER-2023,RNN,NHS ENGLAND NORTH EAST AND YORKSHIRE,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,8487,0,1648,320,0,30,3995,0,20,94,0,1,641,683,2337,0,0,711,,,,,,,2023-12-01,10135,4015,52.9,3048
MSitAE-DECEMBER-2023,RNZ,NHS ENGLAND SOUTH WEST,SALISBURY NHS FOUNDATION TRUST,3940,264,2046,324,0,0,1669,0,0,135,0,0,428,5,1314,0,0,786,,,,,,,2023-12-01,6250,1669,57.6,2100
MSitAE-DECEMBER-2023,RQM,NHS ENGLAND LONDON,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,19078,0,5883,592,0,0,5044,0,368,0,0,0,976,25,2785,0,0,367,,,,,,,2023-12-01,24961,5412,73.6,3152
MSitAE-DECEMBER-2023,RRF,NHS ENGLAND NORTH WEST,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",7636,0,5109,0,0,0,4057,0,78,0,0,0,1316,406,2399,0,0,792,,,,,,,2023-12-01,12745,4135,46.9,3191
MSitAE-DECEMBER-2023,RRV,NHS ENGLAND LONDON,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,12125,0,0,554,0,0,4076,0,0,0,0,0,349,192,1383,0,0,279,,,,,,,2023-12-01,12125,4076,66.4,1662
MSitAE-DECEMBER-2023,RTE,NHS ENGLAND SOUTH WEST,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,11406,0,469,231,0,0,4853,0,0,77,0,0,501,905,2840,0,0,1820,,,,,,,2023-12-01,11875,4853,57.5,4660
MSitAE-DECEMBER-2023,RVV,NHS ENGLAND SOUTH EAST,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,13242,0,11746,0,0,0,7487,0,250,0,0,0,573,1260,3795,0,424,1067,,,,,,,2023-12-01,24988,7737,43.5,5286
MSitAE-DECEMBER-2023,RWH,NHS ENGLAND EAST OF ENGLAND,EAST AND NORTH HERTFORDSHIRE NHS TRUST,10195,0,5125,3,0,412,6245,0,22,2,0,0,180,83,2829,0,0,274,,,,,,,2023-12-01,15320,6267,38.7,3103
MSitAE-DECEMBER-2023,RWJ,NHS ENGLAND NORTH WEST,STOCKPORT NHS FOUNDATION TRUST,8646,0,0,789,0,0,3834,0,0,265,0,0,805,505,2618,0,0,714,,,,,,,2023-12-01,8646,3834,55.7,3332
MSitAE-DECEMBER-2023,RXN,NHS ENGLAND NORTH WEST,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,11945,0,3904,177,0,96,4963,0,164,34,0,0,1216,361,3157,0,196,1391,,,,,,,2023-12-01,15849,5127,58.5,4744
MSitAE-DECEMBER-2023,RXP,NHS ENGLAND NORTH EAST AND YORKSHIRE,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,12685,0,4385,0,0,7128,6597,0,0,0,0,0,2022,18,4548,0,0,795,,,,,,,2023-12-01,17070,6597,48.0,5343
MSitAE-DECEMBER-2023,RYJ,NHS ENGLAND LONDON,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,12312,3369,6550,0,0,355,5796,20,625,0,0,0,831,179,3696,0,0,1023,,,,,,,2023-12-01,22231,6441,52.9,4719
MSitAE-DECEMBER-2023,RAP,NHS ENGLAND LONDON,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,8579,413,7532,94,0,145,5061,0,1635,39,0,43,337,820,1627,0,0,217,,,,,,,2023-12-01,16524,6696,41.0,1844
MSitAE-DECEMBER-2023,RCX,NHS ENGLAND EAST OF ENGLAND,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6108,0,1063,27,0,0,2761,0,0,14,0,0,262,81,2838,0,0,585,,,,,,,2023-12-01,7171,2761,54.8,3423
MSitAE-DECEMBER-2023,RDR,NHS ENGLAND SOUTH EAST,SUSSEX COMMUNITY NHS FOUNDATION TRUST,0,0,11223,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,,,,,,,2023-12-01,11223,181,,0
MSitAE-DECEMBER-2023,RHW,NHS ENGLAND SOUTH EAST,ROYAL BERKSHIRE NHS FOUNDATION TRUST,11839,1826,0,746,0,0,4864,5,0,0,0,0,812,0,2664,1,0,805,,,,,,,2023-12-01,13665,4869,58.9,3470
MSitAE-DECEMBER-2023,RM1,NHS ENGLAND EAST OF ENGLAND,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11191,0,8357,373,0,1,4083,0,13,76,0,0,751,97,2744,0,0,1552,,,,,,,2023-12-01,19548,4096,63.5,4296
MSitAE-DECEMBER-2023,RN5,NHS ENGLAND SOUTH EAST,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,11846,0,350,0,0,128,5075,0,0,0,0,0,1074,120,4252,0,0,1123,,,,,,,2023-12-01,12196,5075,57.2,5375
MSitAE-DECEMBER-2023,RPA,NHS ENGLAND SOUTH EAST,MEDWAY NHS FOUNDATION TRUST,8101,0,6358,272,0,1025,3848,0,1165,92,0,0,473,785,2217,0,0,1053,,,,,,,2023-12-01,14459,5013,52.5,3270
MSitAE-DECEMBER-2023,RTX,NHS ENGLAND NORTH WEST,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,7486,0,3537,209,0,588,2792,0,101,51,0,52,601,305,3029,0,49,910,,,,,,,2023-12-01,11023,2893,62.7,3988
MSitAE-DECEMBER-2023,RWF,NHS ENGLAND SOUTH EAST,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,17905,0,2122,780,0,173,3493,0,42,70,0,4,961,34,5051,0,0,1021,,,,,,,2023-12-01,20027,3535,80.5,6072
MSitAE-DECEMBER-2023,RY2,NHS ENGLAND NORTH WEST,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,0,0,3303,0,0,353,0,0,171,0,0,9,0,0,0,0,0,0,,,,,,,2023-12-01,3303,171,,0
MSitAE-DECEMBER-2023,R1H,NHS ENGLAND LONDON,BARTS HEALTH NHS TRUST,24700,740,16882,0,0,0,12022,14,2453,0,0,0,1348,699,5433,0,0,1093,,,,,,,2023-12-01,42322,14489,51.3,6526
MSitAE-DECEMBER-2023,RBN,NHS ENGLAND NORTH WEST,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,17532,0,7181,389,0,0,7689,0,195,80,0,0,401,384,7146,0,0,527,,,,,,,2023-12-01,24713,7884,56.1,7673
MSitAE-DECEMBER-2023,RCD,NHS ENGLAND NORTH EAST AND YORKSHIRE,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,4902,0,694,166,0,30,1851,0,0,52,0,0,410,73,1349,0,0,422,,,,,,,2023-12-01,5596,1851,62.2,1771
MSitAE-DECEMBER-2023,RGN,NHS ENGLAND EAST OF ENGLAND,NORTH WEST ANGLIA NHS FOUNDATION TRUST,12895,0,4085,48,0,416,6599,0,675,24,0,51,520,702,3084,0,125,1402,,,,,,,2023-12-01,16980,7274,48.8,4611
MSitAE-DECEMBER-2023,RK5,NHS ENGLAND MIDLANDS,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,10133,0,5314,19,0,102,4989,0,458,8,0,6,985,284,3385,0,0,336,,,,,,,2023-12-01,15447,5447,50.8,3721
MSitAE-DECEMBER-2023,Y02428,NHS ENGLAND EAST OF ENGLAND,PUTNOE WALK IN CENTRE,0,0,3195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2023-12-01,3195,0,,0
MSitAE-DECEMBER-2023,RNS,NHS ENGLAND MIDLANDS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,8815,478,2135,97,0,29,4465,8,80,33,0,0,294,1009,1962,0,0,1356,,,,,,,2023-12-01,11428,4553,49.3,3318
MSitAE-DECEMBER-2023,RH5,NHS ENGLAND SOUTH WEST,SOMERSET NHS FOUNDATION TRUST,12463,0,8423,0,0,1,5263,0,308,0,0,0,667,93,3298,0,0,2044,,,,,,,2023-12-01,20886,5571,57.8,5342
MSitAE-DECEMBER-2023,RMC,NHS ENGLAND NORTH WEST,BOLTON NHS FOUNDATION TRUST,7875,0,3189,73,0,25,4251,0,550,30,0,2,531,614,2175,0,128,724,,,,,,,2023-12-01,11064,4801,46.0,3027
